f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22
39.31701272,1.19674523,2.241101314,2.241101314,80.33100553,11.43705143,0.745569896,1.088569159,5.185671937,2.932443468,2.919795153,1.666657314,39.45767467,22.22377167,102.3764729,4.571497809,1.19674523,1.856581408,-1.471619691,2.522364094,3.171635267,3.232901069
45.28263499,0.521712495,2.676869051,2.676869051,86.6784091,6.810678506,0.48480328,1.25064842,4.435248362,3.01300596,3.011289282,1.800720165,45.07044698,23.93401765,126.499484,4.095095168,0.521712495,1.389756157,-1.666477952,2.536379249,3.196525036,3.242044674
34.52978551,0.53020015,2.697437921,2.697437921,157.5573603,18.76284946,0.478828408,1.491302092,4.234447276,3.018466559,3.01572297,2.133500125,34.37577051,20.78697469,93.51974595,3.892691647,0.53020015,1.390581144,-1.610551517,2.468426197,3.197351127,3.241931963
31.21080715,0.339883402,2.544476455,2.544476455,70.60469819,9.618474135,0.298063973,2.269281269,2.637145632,3.107215415,3.105149956,2.706621773,31.02582454,19.9444725,97.45276286,2.404378514,0.339883402,1.009670011,-1.516818736,2.034436819,3.217328926,3.244848107
18.88905256,0.850841751,2.596456429,2.596456429,242.3659824,32.81568095,0.582422995,1.851568924,3.918497813,2.998085666,2.984992357,2.437129006,19.001923,14.95479486,48.44945315,3.432223936,0.850841751,1.573510068,-1.545857439,2.345803325,3.188123561,3.237462665
14.20363512,0.589099327,2.677793832,2.677793832,322.5648167,31.01902387,0.44840535,1.743069727,3.728200238,3.044970617,3.0393861,2.339624641,14.26576907,12.9144142,34.03807178,3.384725869,0.589099327,1.331890739,-1.631492736,2.364936315,3.201627168,3.241273232
13.39859085,0.275522197,2.54306052,2.54306052,88.99949005,9.808599219,0.217684562,2.568257024,1.883956968,3.149350761,3.146941483,2.884355905,13.32252778,12.95200617,41.04916469,1.723230621,0.275522197,0.796863519,-1.634712779,1.849101485,3.226420399,3.245880382
10.53238247,0.508618593,2.732736505,2.732736505,248.1653148,23.53115953,0.399580683,1.344520644,3.788942542,3.064610898,3.060789293,1.76970944,10.58552615,10.93081276,22.85244399,3.503081863,0.508618593,1.234937215,-1.852822667,2.525413013,3.206715748,3.242446086
13.68818431,0.197572952,2.605894654,2.605894654,84.41438377,9.820476912,0.139894314,2.854052586,1.255164612,3.188324994,3.185820707,3.044622147,13.57317219,13.14406566,46.1188053,1.141445569,0.197572952,0.55609103,-1.781488431,1.645442891,3.235064553,3.247076416
6.780767552,0.372293927,2.840776658,2.840776658,293.0942814,30.88093319,0.26904851,1.85726056,2.970719355,3.129588166,3.125584182,2.374409216,6.836202184,8.44894937,15.51056799,2.754108691,0.372293927,0.926683288,-2.080664592,2.466338994,3.221173529,3.244510861
6.852473812,0.396028183,2.871011973,2.871011973,402.7123015,41.09341168,0.257207881,2.000602441,2.776751372,3.140819174,3.135061985,2.49279056,6.916354205,8.344497444,16.58058455,2.587317396,0.396028183,0.872091364,-2.209329573,2.483827303,3.222869438,3.244211399
13.26367845,0.248685933,2.515563097,2.515563097,85.25257219,8.939642432,0.178087979,2.687555567,1.592415496,3.170056091,3.16769253,2.951931351,13.175718,12.91924336,42.43631356,1.448122053,0.248685933,0.67628499,-1.67764737,1.752191697,3.230925756,3.246361741
5.38407688,0.344467826,2.763632304,2.763632304,288.573312,29.76329489,0.228437149,2.440781055,2.032555979,3.151125634,3.146923193,2.803610176,5.435410607,7.570262813,14.27282176,1.863601559,0.344467826,0.798931391,-1.907674029,2.051363453,3.225800004,3.244998684
6.375442699,0.402861953,2.859982843,2.859982843,476.9106167,46.68565039,0.241753959,2.264877525,2.37702164,3.151221344,3.144909663,2.688120402,6.44611302,7.983202394,16.60164189,2.195933102,0.402861953,0.81177707,-2.177654943,2.343978352,3.224806819,3.244171385
5.043738309,0.377403666,2.657296668,2.657296668,273.6531062,27.77797095,0.238240429,2.54682143,1.809305762,3.147515952,3.143931692,2.868778838,5.113226477,7.389615289,13.84433524,1.663913082,0.377403666,0.812416819,-1.714652236,1.838216261,3.224898807,3.244612211
5.259181319,0.352447313,2.820878018,2.820878018,440.7347969,42.86265304,0.185730764,2.816622821,1.359045333,3.180643758,3.173745755,3.023933782,5.322065446,7.304511161,16.3285592,1.229396526,0.352447313,0.608441259,-2.066178847,1.838933781,3.231110758,3.244927458
52.9340722,0.544040716,2.61292547,2.61292547,71.81364257,7.153871485,0.518875483,1.418435563,4.462010869,2.994438079,2.993078782,2.085707382,52.60690526,25.95507077,152.0357727,4.09509969,0.544040716,1.439267889,-1.531597233,2.455747245,3.192619064,3.241673256
30.1388016,0.399490273,2.70197458,2.70197458,142.1433806,16.10029487,0.352539282,1.983859356,3.225734022,3.080598812,3.078425458,2.517555181,29.94765287,19.46905942,88.01042636,2.977496044,0.399490273,1.133321035,-1.64657868,2.2860065,3.211327453,3.243944629
22.82163767,0.562847612,2.749650912,2.749650912,247.8405899,27.38084684,0.484779898,1.188717725,4.262264353,3.019196206,3.015416823,1.496051565,22.78327992,16.63159995,56.43126062,3.923668422,0.562847612,1.407807896,-1.693423116,2.520661239,3.196968437,3.24148685
17.10587199,0.551926674,2.550066892,2.550066892,154.7670104,19.78728763,0.426540092,1.93023458,3.356157178,3.054338134,3.048638928,2.477897805,17.12995574,14.46877728,45.1362705,2.985970483,0.551926674,1.290542554,-1.484043551,2.174682425,3.20390568,3.241810578
6.448550318,1.089686993,2.448563996,2.448563996,488.8666181,54.53724922,0.437298915,2.568351909,2.050739244,3.10637699,3.091880209,2.886014466,6.870854114,7.89332211,18.90957573,1.862862965,1.089686993,1.073669891,-1.979621874,2.090717857,3.207748418,3.235315194
14.28541277,0.268089849,2.713261426,2.713261426,179.2828588,19.22455446,0.183531301,2.727014778,1.633859885,3.168953683,3.166060521,2.975503492,14.20699353,13.30122677,45.88622574,1.491508894,0.268089849,0.689509798,-1.743310532,1.805676582,3.230450971,3.246124242
12.81769391,0.407047325,2.782855416,2.782855416,276.8367401,25.94244085,0.314136738,1.916077606,3.016576762,3.106568774,3.102174275,2.439927048,12.81204428,12.28383994,32.89710521,2.80503078,0.407047325,1.044700033,-1.875658234,2.362533071,3.216082489,3.243918342
13.76733851,0.475043646,2.829537577,2.829537577,447.826007,41.64134321,0.323977429,1.932292223,3.121090228,3.107932411,3.102625181,2.457786195,13.7886757,12.57959222,35.7217363,2.894149377,0.475043646,1.050001432,-1.929049424,2.418044862,3.215543718,3.243070226
14.0040669,0.266937897,2.618892393,2.618892393,136.5077807,14.81224278,0.195825539,2.706170566,1.650807111,3.161608264,3.158922724,2.963711186,13.91933278,13.22399613,44.73613385,1.504660524,0.266937897,0.7319183,-1.579970281,1.715354142,3.22896971,3.246069733
12.7746633,0.420187991,2.800881466,2.800881466,324.3387981,29.67342133,0.305675583,1.880914265,3.047912674,3.112431127,3.10834893,2.406601509,12.76967332,12.20957258,32.68507068,2.836458046,0.420187991,1.016193893,-1.924394268,2.400992907,3.217210586,3.243812133
13.61302843,0.224158249,2.657692,2.657692,112.2083137,12.11679333,0.157466642,2.749300093,1.491739448,3.179923567,3.177719735,2.986952862,13.51130672,13.05580185,44.23083743,1.372330058,0.224158249,0.614258379,-1.8109267,1.780594915,3.233180798,3.246722347
9.854802656,0.442093777,2.874479613,2.874479613,403.52427,37.13064146,0.328965582,1.330835026,3.723880151,3.100620038,3.096505872,1.476890822,9.90003213,10.30262813,21.44097888,3.500294263,0.442093777,1.078540018,-2.084960415,2.639889197,3.2146078,3.243474539
9.018418755,0.415932473,2.95981504,2.95981504,593.1943204,56.66000288,0.284435403,1.534937843,3.470245058,3.126147145,3.120932005,2.009974747,9.07906323,9.471821611,20.68850063,3.278575812,0.415932473,0.948074838,-2.295344651,2.693767475,3.219771052,3.243879392
12.70258916,0.357990398,2.6109936,2.6109936,163.5635406,14.57761205,0.258136925,2.228225499,2.42763782,3.132555493,3.130023376,2.668086732,12.66650288,12.47581993,35.62612071,2.222505119,0.357990398,0.899788161,-1.762542851,2.125331423,3.222286798,3.244820044
7.530669348,0.367170158,2.927835641,2.927835641,493.5033449,46.37714041,0.236016024,1.795090174,2.995687785,3.148437071,3.144710623,2.300645342,7.570647719,8.732639668,17.71295085,2.839486017,0.367170158,0.818897657,-2.307495855,2.593604345,3.22509407,3.244702202
6.786521075,0.380440205,2.949738795,2.949738795,708.2347725,65.6815432,0.233966205,2.356719424,2.295239909,3.152593294,3.147399778,2.751538533,6.845718401,7.999978177,18.41192191,2.137496657,0.380440205,0.79853486,-2.176021341,2.314115998,3.22550871,3.244495687
39.35797793,0.584935778,2.651598576,2.651598576,100.0936892,12.0668457,0.558227335,1.103001624,4.750082879,2.975019355,2.973557177,1.567611298,39.20085961,22.24446003,104.3602215,4.344483019,0.584935778,1.501379845,-1.559070325,2.514641585,3.188263783,3.241046196
17.82143815,0.40958193,2.876590849,2.876590849,357.9177372,39.43674478,0.332187617,1.960025172,3.284154972,3.095465847,3.091645623,2.493566841,17.77534374,14.53332242,47.28276102,3.049895021,0.40958193,1.088530802,-1.865475591,2.423093699,3.213917731,3.243841459
16.76299258,0.332444819,2.812791948,2.812791948,217.1214872,25.25641216,0.273260382,2.148237061,2.744384616,3.121976244,3.119216512,2.617979174,16.66991021,14.28464584,47.11610677,2.52985134,0.332444819,0.949730087,-1.821106174,2.251954355,3.220263415,3.245004911
14.31413206,0.394882467,2.842460038,2.842460038,379.3087779,36.57612819,0.304359958,2.152609388,2.848229589,3.11062261,3.106727909,2.625992954,14.2893926,12.97030022,38.89471931,2.613462259,0.394882467,1.019216844,-1.818680535,2.285240547,3.217129759,3.244119536
15.46305805,0.362186682,2.913123217,2.913123217,433.190984,43.9508112,0.277971069,2.291930704,2.684073516,3.123711004,3.119436027,2.720440516,15.42681457,13.44322235,43.59238951,2.480231873,0.362186682,0.94787588,-1.945593594,2.307769473,3.220017584,3.244579876
14.63543148,0.224904913,2.83356324,2.83356324,197.7199336,21.78961923,0.163821861,2.753316348,1.586953622,3.176399333,3.174077219,2.990112545,14.52812347,13.42907314,47.39806775,1.454475067,0.224904913,0.635763683,-1.872504182,1.865588903,3.232428525,3.246681701
17.76414609,1.051038159,2.546232929,2.546232929,433.620189,52.00463119,0.534493079,2.274975996,2.891703831,3.055641679,3.034407969,2.713447749,18.05996016,14.36450929,51.29615813,2.588234936,1.051038159,1.320678695,-1.943421687,2.350168521,3.196031206,3.234902583
15.45498815,0.368462402,2.934479352,2.934479352,505.8472353,49.65569843,0.265192044,2.271286702,2.692747386,3.132425204,3.127731014,2.705207944,15.42508586,13.36793241,43.65191256,2.484546128,0.368462402,0.906720192,-2.055831771,2.372861755,3.221628563,3.244533122
14.63130378,0.221293179,2.860179281,2.860179281,214.3287683,23.16601914,0.156462776,2.748069867,1.594377977,3.180638821,3.178191134,2.98712433,14.53178918,13.40454545,47.29832782,1.46835766,0.221293179,0.607410053,-1.984616009,1.919933057,3.233287467,3.246741055
14.84816529,0.293255082,2.910507301,2.910507301,371.6410763,36.9634312,0.207153323,2.521379079,2.109156587,3.15964701,3.155033514,2.857165794,14.78673276,13.29391601,45.15442208,1.914171108,0.293255082,0.746882931,-2.09157387,2.199360948,3.227912338,3.24563694
10.02341314,0.482243734,2.958688627,2.958688627,695.5495099,66.32341726,0.370303342,1.369919267,3.962452397,3.08207993,3.076042368,1.828094214,10.10228401,9.925874486,22.33569557,3.663231364,0.482243734,1.160826291,-2.078814034,2.673266397,3.210064418,3.24277289
14.68072391,0.304037286,2.927164797,2.927164797,406.6808239,39.37497478,0.213330839,2.400890572,2.321825132,3.156750114,3.152405225,2.782733196,14.62803467,13.15208567,43.2264068,2.123814967,0.304037286,0.766778245,-2.142639692,2.304202265,3.227263157,3.245493494
12.68828096,0.458981793,2.970312426,2.970312426,693.6169976,62.89837109,0.338873301,1.371769211,3.94980011,3.098113855,3.092574199,1.811736189,12.71368803,11.54628694,29.20973234,3.684742239,0.458981793,1.095171879,-2.183843862,2.732839215,3.21362213,3.243171164
14.89125047,0.256646714,2.800180824,2.800180824,230.1826346,24.51201261,0.185337947,2.722959225,1.652337472,3.167322271,3.164461903,2.973115413,14.80886292,13.53627946,48.05065986,1.495902473,0.256646714,0.69459524,-1.749025012,1.804430396,3.23015331,3.246201628
14.31800723,0.33516648,2.921225747,2.921225747,444.1235632,41.38788656,0.236450929,2.225143271,2.602545057,3.146227969,3.141646091,2.667407096,14.28456764,12.91624267,40.41040656,2.383655641,0.33516648,0.831592094,-2.143569524,2.395320444,3.22477605,3.245033805
9.020152139,0.409988777,3.020879054,3.020879054,992.7120826,89.11581507,0.26026936,1.814937455,3.200845719,3.142009602,3.134837262,2.336340254,9.081997424,9.066903604,22.68240462,2.957105816,0.409988777,0.862044247,-2.374693217,2.672844627,3.222676635,3.243974697
45.20389544,0.555142474,2.70431352,2.70431352,127.795074,13.69935727,0.532181382,1.166925623,4.5887012,2.987736158,2.986205418,1.659960718,45.06177933,23.86964553,125.1007536,4.200504787,0.555142474,1.467149338,-1.603284664,2.521292113,3.191123859,3.241490515
19.25007015,0.455091034,2.87877881,2.87877881,329.9257119,37.30904788,0.40895997,1.550310753,4.040895496,3.052952883,3.050133121,2.155133121,19.19634635,15.07835142,47.17577348,3.723065922,0.455091034,1.257917491,-1.81617882,2.557400248,3.205066373,3.243068409
17.61478364,0.393496695,2.932176631,2.932176631,434.8073827,47.20382303,0.326303155,2.035180542,3.296664863,3.09783457,3.093567777,2.554364634,17.56386315,14.33371992,46.96223847,3.028557039,0.393496695,1.073664071,-1.889899211,2.445612916,3.214485531,3.2440434
21.43466766,0.710690236,2.672296235,2.672296235,257.3923604,29.55842608,0.58038097,1.217919647,4.66260258,2.979741343,2.972840441,1.781536039,21.47755914,16.04140479,50.78353754,4.150165462,0.710690236,1.591319476,-1.565445859,2.497907589,3.1869178,3.239293421
16.92123862,0.319374299,2.962780046,2.962780046,465.4726163,48.8205205,0.244845055,2.363489896,2.555835882,3.139424985,3.135030397,2.764401733,16.85583378,14.09300256,49.32943355,2.349264559,0.319374299,0.862512933,-1.989443568,2.295434052,3.223609181,3.24520386
16.39556834,0.370666542,2.972363138,2.972363138,579.3332715,57.74819889,0.283217982,2.205231518,2.93961117,3.122667259,3.117135865,2.666941015,16.36097099,13.69007981,45.39840361,2.708139004,0.370666542,0.952896883,-2.007479142,2.413558021,3.219495749,3.244424539
19.58474872,0.409408904,2.867740334,2.867740334,285.8703486,32.3473042,0.35733882,1.584118469,3.697426591,3.07906111,3.07644165,2.151636738,19.51459233,15.31903604,50.14445939,3.415306127,0.409408904,1.147611516,-1.869348844,2.516674428,3.210849343,3.243803744
16.74650362,0.366956603,2.990747201,2.990747201,656.2213092,65.00988055,0.26555992,2.301216749,2.742627,3.133438292,3.127359708,2.727310138,16.71525209,13.79349046,47.87294391,2.52672936,0.366956603,0.89898411,-2.067560697,2.390525545,3.221603458,3.244511309
17.29204078,0.374828532,2.855198068,2.855198068,303.4430231,34.93337325,0.286204639,2.174553692,2.79832183,3.118453776,3.115327861,2.639738434,17.25152312,14.39503679,48.83172281,2.567330307,0.374828532,0.971142435,-1.866438987,2.28877679,3.219097607,3.244466659
